Id,Time[ns],SD card (SD mode): Raw bits,SD card (SD mode): Decoded bits,SD card (SD mode): Decoded fields,SD card (SD mode): Fields,SD card (SD mode): Commands
404,365268880.00,0,,,,
405,365268896.00,0,,,,
406,365268920.00,0,,,,
407,365268936.00,0,,,,
408,365268960.00,0,,,,
409,365268976.00,0,,,,
410,365269000.00,0,,,,
411,365269016.00,0,,,,
412,365269040.00,0,,,,
413,365269080.00,0,,,,
414,365269120.00,0,,,,
415,365269160.00,0,,,,
416,365269184.00,0,,,,
417,365269200.00,0,,,,
418,365269224.00,0,,,,
419,365269240.00,0,,,,
420,365269264.00,0,,,,
421,365269280.00,0,,,,
422,365269304.00,0,,,,
423,365269344.00,0,,,,
424,365269384.00,0,,,,
425,365269424.00,0,,,CRC: 0x0,
426,365269464.00,0,,,,
427,365269488.00,0,,,,
428,365269504.00,0,,,,
429,365269528.00,0,,,,
430,365269544.00,0,,,,
431,365687280.00,0,,,,
432,365687320.00,0,,,End bit,
433,365687376.00,0,,,Start bit,Response: R1
434,365687400.00,0,,,Transmission: card,
435,365687440.00,0,,,Command: GO_IDLE_STATE (0),
436,365687480.00,0,,,,
437,365687504.00,0,,,,
438,365687520.00,0,,,,
439,365687544.00,0,,,,
440,365687560.00,0,,,,
441,365687584.00,0,OUT_OF_RANGE,Card status,Argument: 0x00000000,
442,365687600.00,0,ADDRESS_ERROR,,,
443,365687624.00,0,BLOCK_LEN_ERROR,,,
444,365687640.00,0,ERASE_SEQ_ERROR,,,
445,365687664.00,0,ERASE_PARAM,,,
446,365687704.00,0,WP_VIOLATION,,,
447,365687744.00,0,CARD_IS_LOCKED,,,
448,365687824.00,0,LOCK_UNLOCK_FAILED,,,
449,365687864.00,0,COM_CRC_ERROR,,,
450,365687904.00,0,ILLEGAL_COMMAND,,,
451,365688048.00,0,CARD_ECC_FAILED,,,
452,365688128.00,0,CC_ERROR,,,
453,365688312.00,0,ERROR,,,
454,365688352.00,0,Reserved,,,
455,365688392.00,0,Reserved for DEFERRED_RESPONSE,,,
456,365688432.00,0,CSD_OVERWRITE,,,
457,365688472.00,0,WP_ERASE_SKIP,,,
458,365688512.00,0,CARD_ECC_DISABLED,,,
459,365688536.00,0,ERASE_RESET,,,
460,365688552.00,0,CURRENT_STATE,,,
461,365688576.00,0,,,,
462,365688592.00,0,,,,
463,365688616.00,0,,,,
464,365688656.00,0,READY_FOR_DATA,,,
465,365688696.00,0,RSVD,,,
466,365688736.00,0,FX_EVENT,,,
467,365688776.00,0,APP_CMD,,,
468,365688816.00,0,Reserved for SDIO card,,,
469,365688856.00,0,AKE_SEQ_ERROR,,,
470,365688896.00,0,Reserved for application specific commands,,,
471,365688920.00,0,Reserved for manufacturer test mode,,,
472,365689000.00,0,,,,
473,365689040.00,0,,,CRC: 0x0,
474,365689080.00,0,,,,
475,365689120.00,0,,,,
476,365689160.00,0,,,,
477,365689304.00,0,,,,
478,365689728.00,0,,,,
479,365689768.00,0,,,,
480,365690072.00,0,,,End bit,
481,440245752.00,0,,,Start bit,CMD0 (GO_IDLE_STATE): Reset all SD cards
482,440245776.00,1,,,Transmission: host,
483,440245816.00,0,,,Command: GO_IDLE_STATE (0),
484,440245856.00,0,,,,
485,440245896.00,0,,,,
486,440245936.00,0,,,,
487,440245960.00,0,,,,
488,440245976.00,0,,,,
489,440246000.00,0,,Stuff bits,Argument: 0x00000000,
490,440246016.00,0,,,,
491,440246040.00,0,,,,
492,440246080.00,0,,,,
493,440246096.00,0,,,,
494,440246120.00,0,,,,
495,440246160.00,0,,,,
496,440246200.00,0,,,,
497,440246240.00,0,,,,
498,440246264.00,0,,,,
499,440246280.00,0,,,,
500,440246304.00,0,,,,
501,440246320.00,0,,,,
502,440246344.00,0,,,,
503,440246360.00,0,,,,
504,440246384.00,0,,,,
505,440246400.00,0,,,,
506,440246424.00,0,,,,
507,440246464.00,0,,,,
508,440246504.00,0,,,,
509,440246544.00,0,,,,
510,440246584.00,0,,,,
511,440246624.00,0,,,,
512,440246648.00,0,,,,
513,440246664.00,0,,,,
514,440246688.00,0,,,,
515,440246704.00,0,,,,
516,440246728.00,0,,,,
517,440246768.00,0,,,,
518,440634032.00,0,,,,
519,440634072.00,0,,,,
520,440634112.00,0,,,,
521,440634152.00,0,,,CRC: 0x0,
522,440634176.00,0,,,,
523,440634192.00,0,,,,
